Ensembl Gene ID	interactions information
ENSG00000078674	24136289-hcv-ssRNA,
ENSG00000078747	11356981-ebv-dsDNA,
ENSG00000078900	16135803-hiv1-ssRNART,
ENSG00000079246	11733502-dna-hiv1-ssRNART,
ENSG00000079385	20410265-mhv-dsDNA,
ENSG00000079387	15105549-hhv6-dsDNA,
ENSG00000079616	12805422-hiv1-ssRNART,
ENSG00000079785	25299332-coronavirus-ssRNA,
ENSG00000079999	24630992-marv-ssRNA,
ENSG00000080298	11044090-dna-ebv-dsDNA,
ENSG00000080503	17151122-hpv-dsDNA,
ENSG00000080603	11581372-adv-dsDNA,21673954-hcv-ssRNA,10702287-hcv-ssRNA,
ENSG00000080824	22810585-ebv-dsDNA,
ENSG00000080839	8862413-adv-dsDNA,11462030-hpv-dsDNA,
ENSG00000081026	15003862-htlv-ssRNART,
ENSG00000081237	24218549-adv-dsDNA,
ENSG00000082175	19940123-dna-mmtv-ssRNART,
ENSG00000082258	10364329-hiv2-ssRNART,
ENSG00000082512	23774506-hiv1-ssRNART,
ENSG00000082516	23221641-rna,
ENSG00000082701	17616579-hcv-ssRNA,
ENSG00000082781	9883843-adv-dsDNA,
ENSG00000082805	16033967-hcv-ssRNA,
ENSG00000082898	11119609-influenza-ssRNA,19297323-denv-ssRNA,
ENSG00000083312	12620808-hiv1-ssRNART,9891055-hiv1-ssRNART,
ENSG00000083454	15492812-hpv-dsDNA,
ENSG00000083799	21824392-htlv-ssRNART,
ENSG00000083845	11331271-rna-hcv-ssRNA,
ENSG00000084072	21887220-influenza-ssRNA,
ENSG00000084093	17555596-dna,
ENSG00000084207	19826491-hpv-dsDNA,
ENSG00000084652	23816704-hbv-dsDNART,
ENSG00000084674	23690609-hcv-ssRNA,
ENSG00000084676	16775354-hpv-dsDNA,
ENSG00000084764	15117959-hsv-dsDNA,
ENSG00000084774	9525610-adv-dsDNA,
ENSG00000085063	24036449-hbv-dsDNART,
ENSG00000085117	17989173-hiv1-ssRNART,
ENSG00000085224	23396441-adv-dsDNA,23135716-hcmv-dsDNA,
ENSG00000085265	17850894-prrsv-ssRNA,
ENSG00000085514	18358807-hsv-dsDNA,
ENSG00000085840	18946490-ebv-dsDNA,
ENSG00000086015	20086240-rabiesvirus-ssRNA,22894835-rabiesvirus-ssRNA,
ENSG00000086061	9804845-hpv-dsDNA,
ENSG00000086102	15371341-hpv-dsDNA,
ENSG00000086548	22396546-influenza-ssRNA,
ENSG00000087074	23708656-htlv-ssRNART,
ENSG00000087086	22359459-hbv-dsDNART,
ENSG00000087088	23213219-hcmv-dsDNA,12925958-hcv-ssRNA,
ENSG00000087191	9927201-adv-dsDNA,
ENSG00000087258	10753665-hiv1-SSRNART,
ENSG00000087302	21900157-influenza-ssRNA,
ENSG00000087365	17347016-hiv1-ssRNART,
ENSG00000087510	16215227-eiav-ssRNART,
ENSG00000088179	20086240-rabies-ssRNA,
ENSG00000088247	19010963-ev71-ssRNA,
ENSG00000088305	20200245-dna-mhv-dsDNA,
ENSG00000088827	23271952-hiv1-ssRNART,
ENSG00000088832	22046132-sarscov-ssRNA,22349148-sarscov-ssRNA,
ENSG00000088888	23246644-influenza-ssRNA,16731946-hcv-ssRNA,
ENSG00000088986	21094642-asfv-dsDNA,
ENSG00000089009	8457378-dna-htlv-ssRNART,
ENSG00000089127	24651762-dsRNA-wnv-ssRNA,
ENSG00000089159	9114003-hpv-dsDNA,10623743-bpv-dsDNA,
ENSG00000089220	10612659-hiv1-ssRNART,
ENSG00000089234	20040518-sv40-dsDNA,
ENSG00000089248	19019959-polyomavirus-dsDNA,
ENSG00000089280	18971280-aav-ssDNA,
ENSG00000089737	18289627-hiv1-ssRNART,
ENSG00000089902	17939992-hsv-dsDNA,
ENSG00000090061	21555514-hiv1-ssRNART,
ENSG00000090339	25320314-hiv1-ssRNART,
ENSG00000090382	16301665-hiv1-ssRNART,
ENSG00000090520	20418907-kshv-dsDNA,
ENSG00000090659	25011106-mv-ssRNA,
ENSG00000090889	10559369-mpmv-ssRNART,
ENSG00000091583	8989432-hiv1-ssRNART,
ENSG00000091592	23603272-vacv-dsDNA,
ENSG00000091831	22170636-hcv-ssRNA,
ENSG00000092051	11333915-hbv-dsDNART,
ENSG00000092098	10388655-hpv-dsDNA,
ENSG00000092199	21774814-hdv-ssRNA,
ENSG00000092208	16731905,
ENSG00000092445	22156524-lasv-ssRNA,
ENSG00000092820	17022977-influenza-ssRNA,
ENSG00000092853	18922873-sv40-dsDNA,
ENSG00000094631	21532619-htlv-ssRNART,
ENSG00000094804	22589552-ebv-dsDNA,
ENSG00000094916	17245431-hiv1-ssRNART,
ENSG00000095002	18199640-dna-kshv-dsDNA,
ENSG00000095015	11099494-hbv-dsDNART,9630230-htlv-ssRNART,
ENSG00000095794	17526487-dna-blv-ssRNART,
ENSG00000095951	9093905-dna-hiv1-ssRNART,
ENSG00000096060	20573828-influenza-ssRNA,
ENSG00000096063	17360743-hpv-dsDNA,25142587-hpv-dsDNA,
ENSG00000096264	19635919-denv-ssRNA,
ENSG00000096384	23200770-hiv1-ssRNART,
ENSG00000096717	22562294-hbv-dsDNART,15719057-hiv1-ssRNART,
ENSG00000096968	12764155-hcv-ssRNA,
ENSG00000097007	16441434-vacv-dsDNA,
ENSG00000099139	9109419-blv-ssRNART,
ENSG00000099246	23935497-hcv-ssRNA,
ENSG00000099250	16809290-htlv-ssRNART,
ENSG00000099381	17578910-vzv-dsDNA,
ENSG00000099617	22509030-kshv-dsDNA,
ENSG00000099783	21846828-influenza-ssRNA,
ENSG00000099804	11805320-hsv-dsDNA,
ENSG00000099817	7828586-hbv-dsDNART,
ENSG00000099917	20089804-kshv-dsDNA,
ENSG00000099940	24832451-parainfluenza-ssRNA,
ENSG00000099942	18165234-influenza-ssRNA,
ENSG00000099956	22479537-hcmv-dsDNA,10365963-hpv-dsDNA,
ENSG00000100023	22838834-rvfv-ssRNA,
ENSG00000100030	21738584-hiv1-ssRNART,
ENSG00000100097	21880749-hiv1-ssRNART,
ENSG00000100105	12482659-hpv-dsDNA,
ENSG00000100129	23800076-yfv-ssRNA,
ENSG00000100151	15304526-coxsv-ssRNA,
ENSG00000100201	26362536-hiv1-ssRNART,
ENSG00000100242	16339411-kshv-dsDNA,
ENSG00000100280	12058068-hiv1-ssRNART,
ENSG00000100290	7478623-ebv-dsDNA,7478623-adv-dsDNA,
ENSG00000100296	24618812-rna-mlv-ssRNART,
ENSG00000100297	22889230-hiv1-ssRNART,
ENSG00000100298	16571802,
ENSG00000100324	24942571-ev71-ssRNA,
ENSG00000100353	22190034-hiv1-ssRNART,12773399-norwalkvirus-ssRNA,
ENSG00000100387	14990695-sv40-dsDNA,14564014-hiv1-ssRNART,
ENSG00000100393	22434882-htlv-ssRNART,12970734-hpv-dsDNA,16170350-hcv-ssRNA,
ENSG00000100448	10516006-rabbitpoxvirus-dsDNA,
ENSG00000100450	22156339-hbv-dsDNART,
ENSG00000100453	11420045-adv-dsDNA,17363894-adv-dsDNA,
ENSG00000100462	16699006-ebv-dsDNA,
ENSG00000100519	20478047-sarscov-ssRNA,
ENSG00000100567	18971267-hcv-ssRNA,15831937-ebv-dsDNA,
ENSG00000100591	11554768-vsv-ssRNA,
ENSG00000100603	11753645-hpv-dsDNA,19818711-dna-hiv1-ssRNART,
ENSG00000100614	12052831-ebov-ssRNA,
ENSG00000100644	21148070-hpv-dsDNA,24810689-hpv-dsDNA,
ENSG00000100650	16990281-rna-hiv1-ssRNART,
ENSG00000100652	23678176-hbv-dsDNART-hdv-ssRNA,
ENSG00000100697	20869963-htlv-ssRNART,
ENSG00000100764	10748218-hbv-dsDNART,
ENSG00000100804	14550573-hiv1-ssRNART,
ENSG00000100811	10675569-polyomavirus-dsDNA,
ENSG00000100823	19266025-dna-hiv1-ssRNART,
ENSG00000100865	21628470-hcv-ssRNA,
ENSG00000100906	22187158-hiv1-ssRNART,
ENSG00000100983	8540746,
ENSG00000101057	24141769-hpv-dsDNA,
ENSG00000101096	14748509-dna-hiv1-ssRNART,
ENSG00000101146	23028327-vsiv-ssRNA,17267598-influenza-ssRNA,
ENSG00000101182	15831937-ebv-dsDNA,10748218-hbv-dsDNART,
ENSG00000101197	16038965-hpv-dsDNA,
ENSG00000101199	24623438-hcv-ssRNA,
ENSG00000101266	11827166-hiv1-ssRNART,
ENSG00000101336	11448168-hiv1-ssRNART,7588629-hiv1-ssRNART,
ENSG00000101347	23874202-hiv1-ssRNART,
ENSG00000101361	19680535-rna-ebv-dsDNA,
ENSG00000101412	22302879-ebv-dsDNA,11713253-hpv-dsDNA,
ENSG00000101421	23142758-ndv-ssRNA,
ENSG00000101439	2153254-hsv-dsDNA,
ENSG00000101473	10799608-hiv1-ssRNART,
ENSG00000101558	15016871-hcv-ssRNA,
ENSG00000101680	17166913-vacv-dsDNA,
ENSG00000101695	23772026-bocavirus-ssDNA,
ENSG00000101773	17546052-adv-dsDNA,
ENSG00000101811	19779565-ev71-ssRNA,
ENSG00000101868	10481018-dna-sv40-dsDNA,7644508-hsv-dsDNA,
ENSG00000101916	16188996-rna,
ENSG00000101945	16409643-htlv-ssRNART,
ENSG00000101981	21976659-adv-dsDNA,
ENSG00000102007	20427532-humancoronavirus-ssRNA,17392370-humancoronavirus-ssRNA,
ENSG00000102010	24722985-hiv1-ssRNART,
ENSG00000102024	12119179-hiv1-ssRNART,
ENSG00000102030	19176615-hcmv-dsDNA,
ENSG00000102119	17652388-hsv-dsDNA,
ENSG00000102125	10777214-ebv-dsDNA,
ENSG00000102145	12767938-hiv1-ssRNART,
ENSG00000102225	14530271-htlv-ssRNART,
ENSG00000102226	20924359-influenza-ssRNA,18408009-hpv-dsDNA,
ENSG00000102241	8849451-hiv1-ssRNART,
ENSG00000102317	15518812-vacv-dsDNA,
ENSG00000102468	20660194-jcv-dsDNA,
ENSG00000102606	16374509-hiv1-ssRNART,
ENSG00000102699	10652310-sv40-dsDNA,
ENSG00000102753	17192311-bpv-dsDNA,
ENSG00000102871	10544141,
ENSG00000102882	7853525-hiv1-ssRNART,
ENSG00000102893	1872871-hiv1-ssRNART,
ENSG00000102908	17173480-dna-hiv1-ssRNART,
ENSG00000102970	18208323-vacv-dsDNA,
ENSG00000102974	22973047-dna-hsv-dsDNA,
ENSG00000103043	16767081-htlv-ssRNART,
ENSG00000103168	7478615-hpv-dsDNA,
ENSG00000103194	23775713-htlv-ssRNART,
ENSG00000103197	18407068-hcmv-dsDNA,
ENSG00000103275	21795333-ebv-dsDNA,
ENSG00000103423	16760390-hbv-dsDNART,9683573-hpv-dsDNA,11854491-hsv-dsDNA,
ENSG00000103479	11435552-hpv-dsDNA,
ENSG00000103490	17676277-fibromavirus-dsDNA,
ENSG00000103507	18985028-hcv-ssRNA,
ENSG00000103653	10233937-ebv-dsDNA,
ENSG00000103769	21525351-influenza-ssRNA,
ENSG00000103966	23325686-hiv1-ssRNART,
ENSG00000104064	8642652-dna-hiv1-ssRNART,
ENSG00000104067	19199833-denv-ssRNA,
ENSG00000104312	22615316-hbv-dsDNART,
ENSG00000104320	18562516-adv-dsDNA,20974981-hcv-ssRNA,
ENSG00000104365	23704945-influenza-ssRNA,11986318-hpv-dsDNA,15215253-poxvirus-dsDNA,
ENSG00000104368	8416956-myxv-dsDNA,
ENSG00000104408	22553336-htlv-ssRNART,
ENSG00000104419	15582665-hiv1-ssRNART,
ENSG00000104517	21228227-hpv-dsDNA,
ENSG00000104529	8995621-hsv-dsDNA,
ENSG00000104689	11934887-hpv-dsDNA,
ENSG00000104722	10395921-dna-hbv-dsDNART,
ENSG00000104738	17932485-influenza-ssRNA,
ENSG00000104765	9973195-ebv-dsDNA,
ENSG00000104774	12482659-hpv-dsDNA,
ENSG00000104825	24973451-denv-ssRNA,
ENSG00000104852	17507471-rna-aav-ssDNA,
ENSG00000104856	20844054-bfv-ssRNART,
ENSG00000104870	24278022-hiv1-ssRNART,
ENSG00000104881	18985028-hcv-ssRNA,
ENSG00000104884	16537383-dna-ssRNA,
ENSG00000104938	21277928-hiv1-ssRNART,
ENSG00000104969	24675744-sv40-dsDNA,16580632-sarscov-ssRNA,
ENSG00000104973	20089804-kshv-dsDNA,19357160-vzv-dsDNA,
ENSG00000105011	16339411-kshv-dsDNA,
ENSG00000105085	23302885-adv-dsDNA,
ENSG00000105173	16038965-hpv-dsDNA,8553588-hpv-dsDNA,
ENSG00000105193	19129232-rna-hcv-ssRNA,
ENSG00000105202	22909121-influenza-ssRNA,
ENSG00000105204	11251081-adv-dsDNA,
ENSG00000105229	16352559-mmlv-ssRNART,
ENSG00000105281	12584318-ssRNART,
ENSG00000105323	17267598-influenza-ssRNA,
ENSG00000105327	18551131-vacv-dsDNA,
ENSG00000105355	23593007-hcv-ssRNA,24480419-hcv-ssRNA,17003132-hiv1-ssRNART,
ENSG00000105372	21296889-hantavirus-ssRNA,
ENSG00000105373	10196275-hsv-dsDNA,
ENSG00000105397	16987978-ebv-dsDNA,
ENSG00000105401	11986322-hbv-dsDNART,
ENSG00000105404	12768023-rotavirus-dsRNA,11373297-ebv-dsDNA,16917502-ebv-dsDNA,
ENSG00000105497	17170456-dna-hiv1-ssRNART,
ENSG00000105499	23015700-hcv-ssRNA,
ENSG00000105568	16044149-hpv-dsDNA,
ENSG00000105613	20086240-rabiesvirus-ssRNA,
ENSG00000105639	11739714-ebv-dsDNA,
ENSG00000105640	16195786-rna-hcv-ssRNA,
ENSG00000105647	16963558-influenza-ssRNA,
ENSG00000105662	19164291-ebv-dsDNA,16809310-htlv-ssRNART,25300488-hbv-dsDNART,
ENSG00000105695	20080767-hsv-vzv-dsDNA,
ENSG00000105698	11741930-dna-blv-ssRNART,
ENSG00000105707	15614436-hbv-dsDNART,
ENSG00000105723	17616579-hcv-ssRNA,
ENSG00000105810	15870436-kshv-dsDNA,11828325-herpesvirussaimiri-dsDNA,
ENSG00000105855	16973584-fmdv-ssRNA,
ENSG00000105939	18225958,
ENSG00000105971	22301157-hcv-ssRNA,
ENSG00000105974	24643062-denv-ssRNA,
ENSG00000105993	23133382-hcmv-dsDNA,
ENSG00000106052	19109394-hpv-dsDNA,23616667-htlv-ssRNART,
ENSG00000106105	22373920-rna-poliovirus-ssRNA,
ENSG00000106144	12692289-fcv-ssRNA,
ENSG00000106211	15120631-hcv-ssRNA,
ENSG00000106263	24185006-rna-hcv-ssRNA,
ENSG00000106290	11450948-dna-hsv-dsDNA,15564746-hpv-dsDNA,
ENSG00000106305	25320310-influenza-ssRNA,
ENSG00000106459	15452206-dna-hbv-dsDNART,
ENSG00000106462	21715480-hiv1-ssRNART,
ENSG00000106546	16257957-ebv-dsDNA,
ENSG00000106682	16014927-hsv-dsDNA,11581395-hsv-dsDNA,
ENSG00000106799	16407286-hcv-ssRNA,
ENSG00000106927	15037615-hev-ssRNA,
ENSG00000107175	10675342-hcv-ssRNA,9271389-hsv-dsDNA,17054986-hiv1-ssRNART,
ENSG00000107186	11000240-adv-hpv-dsDNA,
ENSG00000107201	23966395,17079289-influenza-ssRNA,
ENSG00000107338	17311000-ebv-dsDNA,
ENSG00000107485	12767938-hiv1-ssRNART,
ENSG00000107566	16581780-hcv-ssRNA,
ENSG00000107581	23766293-rna-hcv-ssRNA,
ENSG00000107854	15795250-ebv-dsDNA,
ENSG00000107862	16890159-ev71-ssRNA,21345960-poliovirus-ssRNA,
ENSG00000108055	19444697-vv-dsDNA,
ENSG00000108094	22232672-hpv-dsDNA,
ENSG00000108306	15893726-hcv-ssRNA,
ENSG00000108312	16763197-adv-dsDNA,
ENSG00000108424	12105224-denv-ssRNA,
ENSG00000108465	21971960-hbv-dsDNART,
ENSG00000108518	12740026-rsv-ssRNA,
ENSG00000108561	22238231-rbv-ssRNA,12034482-rbv-ssRNA,11086025-hcv-ssRNA,
ENSG00000108582	11119583-hbv-dsDNART,11602705-yes-duckhbv-dsDNART,
