id	name	feature
vip:0000003	DENV	CYTIP
vip:0000003	DENV	DAXX
vip:0000003	DENV	DCUN1D4
vip:0000003	DENV	DDX5
vip:0000003	DENV	DYNC1H1
vip:0000003	DENV	EARS2
vip:0000003	DENV	EID1
vip:0000003	DENV	ERLIN2
vip:0000003	DENV	FAF2
vip:0000003	DENV	FAM192A
vip:0000003	DENV	FASN
vip:0000003	DENV	FCGR1A
vip:0000003	DENV	FCGR2A
vip:0000003	DENV	GAS6
vip:0000003	DENV	HEATR1
vip:0000003	DENV	HEATR2
vip:0000003	DENV	HSPA1L
vip:0000003	DENV	KIAA0368
vip:0000003	DENV	KIAA1524
vip:0000003	DENV	KNTC1
vip:0000003	DENV	KPNA2
vip:0000003	DENV	KPNB1
vip:0000003	DENV	LILRB1
vip:0000003	DENV	MAPRE2
vip:0000003	DENV	MMS19
vip:0000003	DENV	MTOR
vip:0000003	DENV	MYCBP2
vip:0000003	DENV	NCAPG2
vip:0000003	DENV	NCLN
vip:0000003	DENV	NCR2
vip:0000003	DENV	NEFH
vip:0000003	DENV	NF1
vip:0000003	DENV	NFKBIB
vip:0000003	DENV	NOC4L
vip:0000003	DENV	NRBP1
vip:0000003	DENV	PHGDH
vip:0000003	DENV	PTBP1
vip:0000003	DENV	RILPL2
vip:0000003	DENV	RIMS2
vip:0000003	DENV	RNF213
vip:0000003	DENV	RPL18
vip:0000003	DENV	RPS27A
vip:0000003	DENV	SDC2
vip:0000003	DENV	SERPINH1
vip:0000003	DENV	SFXN1
vip:0000003	DENV	SLC25A11
vip:0000003	DENV	SLC25A13
vip:0000003	DENV	SLC25A22
vip:0000003	DENV	SLC25A3
vip:0000003	DENV	SLIRP
vip:0000003	DENV	SPTLC1
vip:0000003	DENV	STAT2
vip:0000003	DENV	SURF4
vip:0000003	DENV	TECR
vip:0000003	DENV	TELO2
vip:0000003	DENV	TIMM50
vip:0000003	DENV	TJP1
vip:0000003	DENV	TUBA1C
vip:0000003	DENV	TUBB
vip:0000003	DENV	UBR4
vip:0000003	DENV	XPO1
vip:0000003	DENV	XPO7
vip:0000003	DENV	XPOT
vip:0000003	DENV	ZBTB8OS
vip:0000003	DENV	ZNF394
vip:0000003	DENV	ZW10
vip:0000004	EBOV	ADA
vip:0000004	EBOV	ATP1A1
vip:0000004	EBOV	ATP2A2
vip:0000004	EBOV	ATXN2L
vip:0000004	EBOV	BAZ1B
vip:0000004	EBOV	BLOC1S1
vip:0000004	EBOV	BSG
vip:0000004	EBOV	C10orf32
vip:0000004	EBOV	CCAR2
vip:0000004	EBOV	CCT7
vip:0000004	EBOV	CGGBP1
vip:0000004	EBOV	CLEC4G
vip:0000004	EBOV	CLEC6A
vip:0000004	EBOV	COX5B
vip:0000004	EBOV	EDC4
vip:0000004	EBOV	EEF1A2
vip:0000004	EBOV	GART
vip:0000004	EBOV	H2AFJ
vip:0000004	EBOV	H3F3A
vip:0000004	EBOV	H3F3C
vip:0000004	EBOV	HAVCR1
vip:0000004	EBOV	HIST1H2BL
vip:0000004	EBOV	HIST1H2BN
vip:0000004	EBOV	HIST2H2AA4
vip:0000004	EBOV	HIST2H2AC
vip:0000004	EBOV	HIST2H2BE
vip:0000004	EBOV	HIST2H2BF
vip:0000004	EBOV	HIST2H3A
vip:0000004	EBOV	HIST3H2A
vip:0000004	EBOV	HIST3H3
vip:0000004	EBOV	HNRNPA1L2
vip:0000004	EBOV	HNRNPF
vip:0000004	EBOV	HNRNPH3
vip:0000004	EBOV	HNRNPL
vip:0000004	EBOV	HSPA1A
vip:0000004	EBOV	ILF3
vip:0000004	EBOV	IQGAP1
vip:0000004	EBOV	KLHL7
vip:0000004	EBOV	KPNA1
vip:0000004	EBOV	KPNA6
vip:0000004	EBOV	MIB2
vip:0000004	EBOV	MYO5A
vip:0000004	EBOV	MYO5C
vip:0000004	EBOV	NEFH
vip:0000004	EBOV	NPC1
vip:0000004	EBOV	PHGDH
vip:0000004	EBOV	PIAS1
vip:0000004	EBOV	PIP
vip:0000004	EBOV	POM121
vip:0000004	EBOV	PPAN
vip:0000004	EBOV	PPM1A
vip:0000004	EBOV	PRKDC
vip:0000004	EBOV	RAB11B
vip:0000004	EBOV	RBBP4
vip:0000004	EBOV	RPL22
vip:0000004	EBOV	RPLP0
vip:0000004	EBOV	RPLP1
vip:0000004	EBOV	RPS17L
vip:0000004	EBOV	RPS20
vip:0000004	EBOV	RPS27L
vip:0000004	EBOV	SEC24C
vip:0000004	EBOV	SEC61A1
vip:0000004	EBOV	SLC25A3
vip:0000004	EBOV	SMARCC2
vip:0000004	EBOV	SMPD1
vip:0000004	EBOV	SPOP
vip:0000004	EBOV	SPTLC1
vip:0000004	EBOV	SSR3
vip:0000004	EBOV	STAT1
vip:0000004	EBOV	TCP1
vip:0000004	EBOV	TMED10
vip:0000004	EBOV	TOP1
vip:0000004	EBOV	TUBA1A
vip:0000004	EBOV	TUBA1C
vip:0000004	EBOV	TUBB
vip:0000004	EBOV	UQCRH
vip:0000004	EBOV	VDAC2
vip:0000004	EBOV	YME1L1
vip:0000005	EBV	ABCA13
vip:0000005	EBV	ABCC1
vip:0000005	EBV	ABHD12
vip:0000005	EBV	ABLIM3
vip:0000005	EBV	ACSL3
vip:0000005	EBV	ACTG1
vip:0000005	EBV	ADAM9
vip:0000005	EBV	ADCY6
vip:0000005	EBV	ADCY9
vip:0000005	EBV	ADNP
vip:0000005	EBV	ADRM1
vip:0000005	EBV	AGK
vip:0000005	EBV	AGPAT6
vip:0000005	EBV	AHR
vip:0000005	EBV	AIP
vip:0000005	EBV	AKAP11
vip:0000005	EBV	AKAP12
vip:0000005	EBV	AKAP8L
vip:0000005	EBV	ALG1
vip:0000005	EBV	ALG5
vip:0000005	EBV	ANK3
vip:0000005	EBV	ANKRD13A
vip:0000005	EBV	ANKRD40
vip:0000005	EBV	APMAP
vip:0000005	EBV	ARHGAP1
vip:0000005	EBV	ARHGDIA
vip:0000005	EBV	ARID3A
vip:0000005	EBV	ARL1
vip:0000005	EBV	ASPH
vip:0000005	EBV	ATAD3A
vip:0000005	EBV	ATF1
vip:0000005	EBV	ATF7
vip:0000005	EBV	ATP13A3
vip:0000005	EBV	ATP2A2
vip:0000005	EBV	ATP2B4
vip:0000005	EBV	ATP2C1
vip:0000005	EBV	ATP5A1
vip:0000005	EBV	ATP5C1
vip:0000005	EBV	ATP5H
vip:0000005	EBV	ATP5J
vip:0000005	EBV	ATP5L
vip:0000005	EBV	ATP5O
vip:0000005	EBV	ATXN2
vip:0000005	EBV	BABAM1
vip:0000005	EBV	BACE2
vip:0000005	EBV	BAG2
vip:0000005	EBV	BAG5
vip:0000005	EBV	BAG6
vip:0000005	EBV	BAK1
vip:0000005	EBV	BATF
vip:0000005	EBV	BCL2L11
vip:0000005	EBV	BDKRB2
vip:0000005	EBV	BICC1
vip:0000005	EBV	BIK
vip:0000005	EBV	BNIP1
vip:0000005	EBV	BNIP3L
vip:0000005	EBV	BSG
vip:0000005	EBV	BTF3
vip:0000005	EBV	C19orf70
vip:0000005	EBV	C1QTNF2
vip:0000005	EBV	C1R
vip:0000005	EBV	C5orf15
vip:0000005	EBV	CAMK2D
vip:0000005	EBV	CAPN2
vip:0000005	EBV	CAPZB
vip:0000005	EBV	CBS
vip:0000005	EBV	CCAR2
vip:0000005	EBV	CCDC168
vip:0000005	EBV	CCNA2
vip:0000005	EBV	CCND1
vip:0000005	EBV	CCT6A
vip:0000005	EBV	CCT6B
vip:0000005	EBV	CD248
vip:0000005	EBV	CDC6
vip:0000005	EBV	CDCP1
vip:0000005	EBV	CDIPT
vip:0000005	EBV	CDK5
vip:0000005	EBV	CDK7
vip:0000005	EBV	CDKAL1
vip:0000005	EBV	CDKN1B
vip:0000005	EBV	CDKN2A
vip:0000005	EBV	CDS2
vip:0000005	EBV	CEBPZ
vip:0000005	EBV	CEPT1
vip:0000005	EBV	CGRRF1
vip:0000005	EBV	CHCHD3
vip:0000005	EBV	CHCHD4
vip:0000005	EBV	CHP1
vip:0000005	EBV	CHPF
vip:0000005	EBV	CHPF2
vip:0000005	EBV	CHRM2
vip:0000005	EBV	CIR1
vip:0000005	EBV	CKAP5
vip:0000005	EBV	CLCN7
vip:0000005	EBV	CLPTM1
vip:0000005	EBV	CLPX
vip:0000005	EBV	CLTC
vip:0000005	EBV	CLUH
vip:0000005	EBV	CNN1
vip:0000005	EBV	CNN2
vip:0000005	EBV	CNOT1
vip:0000005	EBV	CNTNAP1
vip:0000005	EBV	COA7
vip:0000005	EBV	COL6A1
vip:0000005	EBV	COL6A2
vip:0000005	EBV	COL6A3
vip:0000005	EBV	COMT
vip:0000005	EBV	COPB1
vip:0000005	EBV	COPE
vip:0000005	EBV	COX20
vip:0000005	EBV	CPT1A
vip:0000005	EBV	CR1
vip:0000005	EBV	CR2
vip:0000005	EBV	CRIM1
vip:0000005	EBV	CRIP2
vip:0000005	EBV	CRTC1
vip:0000005	EBV	CRTC2
vip:0000005	EBV	CRYBG3
vip:0000005	EBV	CSE1L
vip:0000005	EBV	CSF1
vip:0000005	EBV	CSK
vip:0000005	EBV	CSNK2B
vip:0000005	EBV	CSPG4
vip:0000005	EBV	CSRP2
vip:0000005	EBV	CTNNA1
vip:0000005	EBV	CTNND1
vip:0000005	EBV	CTPS1
vip:0000005	EBV	CTSB
vip:0000005	EBV	CUBN
vip:0000005	EBV	CYB5R3
vip:0000005	EBV	CYBRD1
vip:0000005	EBV	DARS
vip:0000005	EBV	DAXX
vip:0000005	EBV	DDOST
vip:0000005	EBV	DDR2
vip:0000005	EBV	DDX20
vip:0000005	EBV	DHCR24
vip:0000005	EBV	DHRS7
vip:0000005	EBV	DNAH1
vip:0000005	EBV	DNAJB1
vip:0000005	EBV	DNAJB12
vip:0000005	EBV	DNAJB2
vip:0000005	EBV	DNAJB4
vip:0000005	EBV	DNAJB5
vip:0000005	EBV	DNAJC13
vip:0000005	EBV	DNAJC16
vip:0000005	EBV	DNAJC7
vip:0000005	EBV	DOCK9
vip:0000005	EBV	DPM2
vip:0000005	EBV	DPP7
vip:0000005	EBV	DPY19L1
vip:0000005	EBV	DYNC1H1
vip:0000005	EBV	E2F1
vip:0000005	EBV	EBNA1BP2
vip:0000005	EBV	ECE1
vip:0000005	EBV	EEF1B2
vip:0000005	EBV	EFEMP2
vip:0000005	EBV	EHD2
vip:0000005	EBV	EHMT1
vip:0000005	EBV	EI24
vip:0000005	EBV	EMP1
vip:0000005	EBV	ENG
vip:0000005	EBV	ENPP1
vip:0000005	EBV	ERGIC1
vip:0000005	EBV	ERGIC3
vip:0000005	EBV	ERLIN2
vip:0000005	EBV	ESRRA
vip:0000005	EBV	ESYT1
vip:0000005	EBV	ESYT2
vip:0000005	EBV	EVA1A
vip:0000005	EBV	EVA1B
vip:0000005	EBV	F2R
vip:0000005	EBV	FA2H
vip:0000005	EBV	FAF2
vip:0000005	EBV	FAM178A
vip:0000005	EBV	FAM192A
vip:0000005	EBV	FAM69A
vip:0000005	EBV	FARP1
vip:0000005	EBV	FARSA
vip:0000005	EBV	FAT1
vip:0000005	EBV	FGD4
