Id	Annotation	FunctionName
hsa00030	PGD	Pentose_phosphate_pathway
hsa00030	PGLS	Pentose_phosphate_pathway
hsa00030	PGM1	Pentose_phosphate_pathway
hsa00030	PGM2	Pentose_phosphate_pathway
hsa00030	PRPS1L1	Pentose_phosphate_pathway
hsa00030	RBKS	Pentose_phosphate_pathway
hsa00030	RPE	Pentose_phosphate_pathway
hsa00030	RPIA	Pentose_phosphate_pathway
hsa00030	TALDO1	Pentose_phosphate_pathway
hsa00030	TKT	Pentose_phosphate_pathway
hsa00030	TKTL2	Pentose_phosphate_pathway
hsa00040	AKR1A1	Pentose_and_glucuronate_interconversions
hsa00040	AKR1B1	Pentose_and_glucuronate_interconversions
hsa00040	AKR1B10	Pentose_and_glucuronate_interconversions
hsa00040	CRYL1	Pentose_and_glucuronate_interconversions
hsa00040	DCXR	Pentose_and_glucuronate_interconversions
hsa00040	DHDH	Pentose_and_glucuronate_interconversions
hsa00040	GUSB	Pentose_and_glucuronate_interconversions
hsa00040	ISPD	Pentose_and_glucuronate_interconversions
hsa00040	KL	Pentose_and_glucuronate_interconversions
hsa00040	RPE	Pentose_and_glucuronate_interconversions
hsa00040	SORD	Pentose_and_glucuronate_interconversions
hsa00040	UGDH	Pentose_and_glucuronate_interconversions
hsa00040	UGP2	Pentose_and_glucuronate_interconversions
hsa00040	UGT2A3	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B10	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B11	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B15	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B17	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B28	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B4	Pentose_and_glucuronate_interconversions
hsa00040	UGT2B7	Pentose_and_glucuronate_interconversions
hsa00040	XYLB	Pentose_and_glucuronate_interconversions
hsa00051	AKR1B1	Fructose_and_mannose_metabolism
hsa00051	AKR1B10	Fructose_and_mannose_metabolism
hsa00051	ALDOA	Fructose_and_mannose_metabolism
hsa00051	ALDOB	Fructose_and_mannose_metabolism
hsa00051	ALDOC	Fructose_and_mannose_metabolism
hsa00051	C12orf5	Fructose_and_mannose_metabolism
hsa00051	DAK	Fructose_and_mannose_metabolism
hsa00051	ENOSF1	Fructose_and_mannose_metabolism
hsa00051	FBP1	Fructose_and_mannose_metabolism
hsa00051	FBP2	Fructose_and_mannose_metabolism
hsa00051	FPGT	Fructose_and_mannose_metabolism
hsa00051	FUK	Fructose_and_mannose_metabolism
hsa00051	GMDS	Fructose_and_mannose_metabolism
hsa00051	GMPPA	Fructose_and_mannose_metabolism
hsa00051	GMPPB	Fructose_and_mannose_metabolism
hsa00051	HK1	Fructose_and_mannose_metabolism
hsa00051	HK2	Fructose_and_mannose_metabolism
hsa00051	HK3	Fructose_and_mannose_metabolism
hsa00051	HKDC1	Fructose_and_mannose_metabolism
hsa00051	KHK	Fructose_and_mannose_metabolism
hsa00051	MPI	Fructose_and_mannose_metabolism
hsa00051	PFKFB2	Fructose_and_mannose_metabolism
hsa00051	PFKFB3	Fructose_and_mannose_metabolism
hsa00051	PFKFB4	Fructose_and_mannose_metabolism
hsa00051	PFKL	Fructose_and_mannose_metabolism
hsa00051	PFKM	Fructose_and_mannose_metabolism
hsa00051	PFKP	Fructose_and_mannose_metabolism
hsa00051	PMM1	Fructose_and_mannose_metabolism
hsa00051	PMM2	Fructose_and_mannose_metabolism
hsa00051	SORD	Fructose_and_mannose_metabolism
hsa00051	TPI1	Fructose_and_mannose_metabolism
hsa00051	TSTA3	Fructose_and_mannose_metabolism
hsa00052	AKR1B1	Galactose_metabolism
hsa00052	AKR1B10	Galactose_metabolism
hsa00052	B4GALT1	Galactose_metabolism
hsa00052	B4GALT2	Galactose_metabolism
hsa00052	G6PC	Galactose_metabolism
hsa00052	G6PC2	Galactose_metabolism
hsa00052	G6PC3	Galactose_metabolism
hsa00052	GAA	Galactose_metabolism
hsa00052	GALE	Galactose_metabolism
hsa00052	GALK1	Galactose_metabolism
hsa00052	GALM	Galactose_metabolism
hsa00052	GALT	Galactose_metabolism
hsa00052	GANC	Galactose_metabolism
hsa00052	GCK	Galactose_metabolism
hsa00052	GLB1	Galactose_metabolism
hsa00052	HK1	Galactose_metabolism
hsa00052	HK2	Galactose_metabolism
hsa00052	HK3	Galactose_metabolism
hsa00052	HKDC1	Galactose_metabolism
hsa00052	LALBA	Galactose_metabolism
hsa00052	LCT	Galactose_metabolism
hsa00052	MGAM	Galactose_metabolism
hsa00052	PFKL	Galactose_metabolism
hsa00052	PFKM	Galactose_metabolism
hsa00052	PFKP	Galactose_metabolism
hsa00052	PGM1	Galactose_metabolism
hsa00052	PGM2	Galactose_metabolism
hsa00052	RP11-1220K2.2	Galactose_metabolism
hsa00052	SI	Galactose_metabolism
hsa00052	UGP2	Galactose_metabolism
hsa00053	ALDH1B1	Ascorbate_and_aldarate_metabolism
hsa00053	ALDH2	Ascorbate_and_aldarate_metabolism
hsa00053	ALDH3A2	Ascorbate_and_aldarate_metabolism
hsa00053	ALDH7A1	Ascorbate_and_aldarate_metabolism
hsa00053	ALDH9A1	Ascorbate_and_aldarate_metabolism
hsa00053	MIOX	Ascorbate_and_aldarate_metabolism
hsa00053	UGDH	Ascorbate_and_aldarate_metabolism
hsa00053	UGT2A3	Ascorbate_and_aldarate_metabolism
hsa00053	UGT2B10	Ascorbate_and_aldarate_metabolism
hsa00053	UGT2B11	Ascorbate_and_aldarate_metabolism
hsa00053	UGT2B15	Ascorbate_and_aldarate_metabolism
hsa00053	UGT2B17	Ascorbate_and_aldarate_metabolism
hsa00053	UGT2B28	Ascorbate_and_aldarate_metabolism
hsa00053	UGT2B4	Ascorbate_and_aldarate_metabolism
hsa00053	UGT2B7	Ascorbate_and_aldarate_metabolism
hsa00061	ACACB	Fatty_acid_biosynthesis
hsa00061	ACSBG1	Fatty_acid_biosynthesis
hsa00061	ACSBG2	Fatty_acid_biosynthesis
hsa00061	ACSF3	Fatty_acid_biosynthesis
hsa00061	ACSL1	Fatty_acid_biosynthesis
hsa00061	ACSL3	Fatty_acid_biosynthesis
hsa00061	ACSL5	Fatty_acid_biosynthesis
hsa00061	ACSL6	Fatty_acid_biosynthesis
hsa00061	CBR4	Fatty_acid_biosynthesis
hsa00061	FASN	Fatty_acid_biosynthesis
hsa00061	HSD17B8	Fatty_acid_biosynthesis
hsa00061	MCAT	Fatty_acid_biosynthesis
hsa00061	MECR	Fatty_acid_biosynthesis
hsa00061	NDUFAB1	Fatty_acid_biosynthesis
hsa00061	OLAH	Fatty_acid_biosynthesis
hsa00061	OXSM	Fatty_acid_biosynthesis
hsa00062	ACAA2	Fatty_acid_elongation
hsa00062	ACOT1	Fatty_acid_elongation
hsa00062	ACOT2	Fatty_acid_elongation
hsa00062	ACOT4	Fatty_acid_elongation
hsa00062	ACOT7	Fatty_acid_elongation
hsa00062	ECHS1	Fatty_acid_elongation
hsa00062	ELOVL1	Fatty_acid_elongation
hsa00062	ELOVL2	Fatty_acid_elongation
hsa00062	ELOVL3	Fatty_acid_elongation
hsa00062	ELOVL4	Fatty_acid_elongation
hsa00062	ELOVL5	Fatty_acid_elongation
hsa00062	ELOVL6	Fatty_acid_elongation
hsa00062	ELOVL7	Fatty_acid_elongation
hsa00062	HADH	Fatty_acid_elongation
hsa00062	HADHA	Fatty_acid_elongation
hsa00062	HADHB	Fatty_acid_elongation
hsa00062	HSD17B12	Fatty_acid_elongation
hsa00062	MECR	Fatty_acid_elongation
hsa00062	PPT1	Fatty_acid_elongation
hsa00062	PPT2	Fatty_acid_elongation
hsa00062	PTPLA	Fatty_acid_elongation
hsa00062	PTPLAD1	Fatty_acid_elongation
hsa00062	PTPLAD2	Fatty_acid_elongation
hsa00062	PTPLB	Fatty_acid_elongation
hsa00062	TECR	Fatty_acid_elongation
hsa00062	THEM4	Fatty_acid_elongation
hsa00062	THEM5	Fatty_acid_elongation
hsa00071	ACAA1	Fatty_acid_degradation
hsa00071	ACAA2	Fatty_acid_degradation
hsa00071	ACADL	Fatty_acid_degradation
hsa00071	ACADM	Fatty_acid_degradation
hsa00071	ACADS	Fatty_acid_degradation
hsa00071	ACADSB	Fatty_acid_degradation
hsa00071	ACADVL	Fatty_acid_degradation
hsa00071	ACAT1	Fatty_acid_degradation
hsa00071	ACAT2	Fatty_acid_degradation
hsa00071	ACOX1	Fatty_acid_degradation
hsa00071	ACOX3	Fatty_acid_degradation
hsa00071	ACSBG1	Fatty_acid_degradation
hsa00071	ACSBG2	Fatty_acid_degradation
